kód;"kód (UIPŠ)";"kód (UIPŠ2)";"kód (CRŠ 1)";"kód miesta štúdia";"kód školy";"kód fakulty";typeJoint;"kód formy štúdia";"kód získaného titulu";"dĺžka štúdia";"stupeň štúdia";"kód študijného odboru 1";"kód študijného odboru 2";financovanie_1;financovanie_2;studijnyodbor_vedlajsi;názov;prog_typ;subject;"jazyk PaT";profOriented;akreditacny_spis;"pozastavenie od";"akreditácia od";"akreditácia do";"platné od";"platné do";"jazyky poskytovania";"v procese KA"
104395;;3925V00;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;0;"jadrová energetika";0;;;0;"ex offo";;2015-11-09;;2019-09-01;;1;0
104396;;3925V00;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;0;"jadrová energetika";0;;;0;"ex offo";;2015-11-09;;2019-09-01;;1,14;0
12887;;3925V00;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;0;"jadrová energetika";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
104416;;3940R06;;;702000000;702030000;;1;15;3;1;2675R00;;4;4;;"jadrové a fyzikálne inžinierstvo";0;;;0;2019/11076:6-A1110;;2019-07-30;;2019-09-01;;14;0
104415;;3940R06;;;702000000;702030000;;1;15;3;1;2675R00;;4;4;;"jadrové a fyzikálne inžinierstvo";0;;;0;"ex offo";;2019-07-30;2022-07-19;2022-07-19;;1;0
104410;;3940T06;;;702000000;702030000;;1;01;2;2;2675T00;;4;4;;"jadrové a fyzikálne inžinierstvo";0;;;0;2018/6569:8-15A0;;2018-06-18;;2019-09-01;;14;0
104409;;3940T06;;;702000000;702030000;;1;01;2;2;2675T00;;4;4;;"jadrové a fyzikálne inžinierstvo";0;;;0;2018/6569:8-15A0;;2018-06-18;;2019-09-01;;1;0
184543;;3772T29;;;702000000;702030000;;1;01;2;2;2675T00;;0;0;0;"kozmické inžinierstvo";0;;;0;2021/89:3331-OAC;;2021-12-14;;2021-11-18;;1,14;0
184544;;3772V29;;;702000000;702030000;;1;53;3;3;2675V00;;0;0;0;"kozmické inžinierstvo";0;;;0;2021/89:3332-OAC;;2021-12-14;;2021-11-18;;1,14;0
183912;;3772T29;;;702000000;702030000;;1;01;2;2;3772T00;;0;0;;"kozmické inžinierstvo";0;;;0;"ex offo";;2019-10-30;2022-07-19;2022-07-19;;1;0
183918;;3772T29;;;702000000;702030000;;1;01;2;2;3772T00;;0;0;;"kozmické inžinierstvo";0;;;0;"ex offo";;2019-10-30;2022-07-19;2022-07-19;;1,14;0
183903;;3772V29;;;702000000;702030000;;1;53;3;3;3772V00;;0;0;;"kozmické inžinierstvo";0;;;0;"ex offo";;2019-10-30;2022-07-19;2022-07-19;;1;0
183835;;3772V29;;;702000000;702030000;;1;53;3;3;3772V00;;0;0;0;"kozmické inžinierstvo";0;;;0;"ex offo";;2019-10-30;2022-07-19;2022-07-19;;1,14;0
16597;;2647T00;;;702000000;702030000;;1;01;2;2;2647T00;;4;4;0;kybernetika;0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
12889;;2647V00;;;702000000;702030000;;1;53;3;3;2647V00;;19;19;0;kybernetika;0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
185444;;2675T35;;;702000000;702030000;1;1;01;2;2;2675T00;6213T00;0;0;0;"management in nuclear";0;;;0;2025\1\2650\1;;2025-05-16;;2025-04-25;;1;0
104605;2387901;2387V01;;;702000000;702030000;;1;53;3;3;2647V00;;19;19;;"mechatronické systémy";0;;;0;2015-18811/46628:3-15A0;;2015-11-09;;2019-09-01;;1;0
100861;2387901;2387V01;;;702000000;702030000;;1;53;3;3;2647V00;;19;19;;"mechatronické systémy";0;;;0;2015-18811/46628:3-15A0;;2015-11-09;;2019-09-01;;1,14;0
16592;;3973T02;;;702000000;702030000;;1;01;2;2;2381T00;;4;4;0;"meracia a informačná technika";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
12882;;3971V00;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;0;"meracia technika";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
104354;;3971V00;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;;"meracia technika";0;;;0;2019/15718:19-A1110;;2019-10-30;;2019-10-18;;1,14;0
104353;;3971V00;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;;"meracia technika";0;;;0;2019/15718:19-A1110;;2019-10-30;;2019-10-18;;1;0
12875;;3975V00;;;702000000;702030000;;1;53;3;3;2381V00;;19;19;0;metrológia;0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
16588;;2613T02;;;702000000;702030000;;1;01;2;2;2675T00;;4;4;0;mikroelektronika;0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
12877;;2613V02;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;0;mikroelektronika;0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
183414;;2627T11;;;702000000;702030000;;1;01;2;2;2508T00;;4;4;0;"multimediálne informačné a komunikačné technológie";0;;;0;"ex offo";;2018-06-18;2022-07-19;2022-07-19;;1;0
183415;;2627T11;;;702000000;702030000;;1;01;2;2;2508T00;;4;4;0;"multimediálne informačné a komunikačné technológie";0;;;0;"ex offo";;2018-06-18;;2019-09-01;;14;0
16590;;2511R02;;;702000000;702030000;;1;15;3;1;2647R00;2508R00;4;4;0;"priemyselná informatika";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
16586;;2613T01;;;702000000;702030000;;1;01;2;2;2675T00;;4;4;0;rádioelektronika;0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
12879;;2613V01;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;0;rádioelektronika;0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
16578;;2621T07;;;702000000;702030000;;1;01;2;2;2647T00;;4;4;0;robotika;0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
104609;;2647R07;;;702000000;702030000;;1;15;3;1;2647R00;;4;4;;"robotika a kybernetika";0;;;0;"ex offo";;2019-07-30;2022-08-08;2022-08-08;;1;0
104375;;2647T07;;;702000000;702030000;;1;01;2;2;2647T00;;4;4;;"robotika a kybernetika";0;;;0;"ex offo";;2018-06-18;2022-08-08;2022-08-08;;1;0
104363;;2647V07;;;702000000;702030000;;1;53;3;3;2647V00;;19;19;0;"robotika a kybernetika";0;;;0;"ex offo";;2015-11-09;;2019-09-01;;1;0
104364;;2647V07;;;702000000;702030000;;1;53;3;3;2647V00;;19;19;0;"robotika a kybernetika";0;;;0;"ex offo";;2015-11-09;;2019-09-01;;1,14;0
100863;;2647R07;;;702000000;702030000;;1;15;3;1;2647R00;;4;4;;"robotika a kybernetika";0;;;0;2019/11076:6-A1110;;2019-07-30;;2019-09-01;;14;0
104376;;2647T07;;;702000000;702030000;;1;01;2;2;2647T00;;4;4;;"robotika a kybernetika";0;;;0;2018/6569:8-15A0;;2018-06-18;;2019-09-01;;14;0
12881;;2632V00;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;0;"silnoprúdová elektrotechnika";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
184545;;2675T48;;;702000000;702030000;;1;01;2;2;2675T00;;0;0;0;"space engineering";0;;;0;2021/89:3334-OAC;;2021-12-14;;2021-11-18;;1;0
184546;;2675V48;;;702000000;702030000;;1;53;3;3;2675V00;;0;0;0;"space engineering";0;;;0;2021/89:3333-OAC;;2021-12-14;;2021-11-18;;1;0
104608;;2627R00;;;702000000;702030000;;1;15;3;1;2508R00;;4;4;;telekomunikácie;0;;;0;"ex offo";;2019-07-30;2022-07-19;2022-07-19;;1;0
16580;;2627R00;;;702000000;702030000;;1;15;3;1;2508R00;;4;4;;telekomunikácie;0;;;0;"ex offo";;2019-07-30;2022-07-19;2022-07-19;;14;0
104360;;2627V00;;;702000000;702030000;;1;53;3;3;2508V00;;19;19;;telekomunikácie;0;;;0;2019/17108:9-A1110;;2019-11-15;;2019-11-08;;1,14;0
104359;;2627V00;;;702000000;702030000;;1;53;3;3;2508V00;;19;19;;telekomunikácie;0;;;0;2019/17108:9-A1110;;2019-11-15;;2019-11-08;;1;0
12872;;2627V00;;;702000000;702030000;;1;53;3;3;2508V00;;19;19;0;telekomunikácie;0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
104606;;2627T00;;;702000000;702030000;;1;01;2;2;2508T00;;4;4;0;telekomunikácie;0;;;0;"ex offo";;2015-11-09;2020-07-31;2020-08-21;;1;0
16582;;2627T00;;;702000000;702030000;;1;01;2;2;2508T00;;4;4;0;telekomunikácie;0;;;0;"ex offo";;2015-11-09;2020-07-31;2020-08-21;;14;0
104391;;2602V00;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;0;"teoretická elektrotechnika";0;;;0;"ex offo";;2015-11-09;2022-07-19;2022-07-19;;1;0
104392;;2602V00;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;0;"teoretická elektrotechnika";0;;;0;"ex offo";;2015-11-09;2022-07-19;2022-07-19;;1,14;0
12870;;2602V00;;;702000000;702030000;;1;53;3;3;2675V00;;19;19;0;"teoretická elektrotechnika";0;;;0;2018/6391:2-15A0;;2018-04-20;2018-04-20;2019-09-01;;14;0
